pais,categoria,total_ordenes,ingresos_totales,unidades_vendidas
Mexico,Accesorios,66083,120499288.58,198532
Colombia,Accesorios,66142,120188634.42,198625
Argentina,Accesorios,66213,119459477.05,198219
Chile,Accesorios,65726,119085203.39,196247
Peru,Accesorios,65609,118835420.01,197010
Argentina,Video,33421,60610309.53,100092
Colombia,Audio,33048,60324672.64,99766
Mexico,Conectividad,33183,60307062.46,99564
Peru,Conectividad,33145,60291551.05,99797
Peru,Video,33058,60280386.34,99802
Mexico,Audio,32942,60191128.54,99223
Peru,Computo,33011,60013739.27,99011
Colombia,Video,33146,60001326.73,99357
Chile,Audio,33172,59934512.08,99129
Chile,Video,33047,59889026.77,98845
Colombia,Conectividad,32959,59841327.09,98749
Peru,Audio,33001,59799241.39,98784
Mexico,Computo,32995,59796666.24,99092
Argentina,Audio,33292,59754054.47,99538
Argentina,Computo,32949,59717338.78,98792
Colombia,Computo,32619,59714579.33,97948
Argentina,Conectividad,32869,59578106.53,98531
Mexico,Video,32777,59570300.77,98898
Chile,Conectividad,32963,59501093.78,98397
Chile,Computo,32767,59196779.39,98254
